Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.973	-0.005	-0.575	0.214	18.383	44.863	1.820	0.063	0.255	0.461	78.708	51.930	1.949	0.535	4.691	-1.213	-68.960	-143.690	1.741	0.903	3.807	1.573	41.060	-201.168	1.669	1.402	12.376	2.017	-92.512	-195.382	1.691	0.997	12.190	2.278	-140.753	108.314	1.981	1.020	14.978	6.692	-463.361	125.109	2.045	1.050	12.781	7.350	-398.211	-183.821	1.355	0.634	14.179	-1.777	-35.259	-139.575	1.565	0.703	13.954	0.465	-74.047	-32.544	1.974	0.531	14.928	6.054	-140.791	227.509	1.714	0.880	8.413	2.115	51.095	71.074	1.741	1.455	8.580	1.650	-139.372	9.948	1.711	1.191	4.651	2.735	-424.352	372.893	1.849	0.988	5.512	1.827	-35.536	173.983	1.903	0.916	5.008	0.945	-60.619	156.327	1.788	1.506	8.412	1.293	-44.518	-0.753	1.767	1.654	8.232	1.293	-1.273	37.506	1.761	0.984	8.146	1.676	-16.736	5.383	
1.969	-0.000	-0.353	0.335	26.158	-20.762	1.826	0.070	0.826	1.198	35.526	95.422	1.993	0.516	4.075	-2.015	-54.272	-16.678	1.782	0.909	4.782	0.205	153.940	-72.491	1.788	1.412	10.255	-0.106	-331.788	-229.338	1.806	1.025	11.331	3.138	-31.147	63.663	2.108	1.093	11.102	7.678	-311.856	72.101	2.152	1.115	10.871	7.504	16.139	214.505	1.495	0.609	14.351	-3.004	69.741	-105.844	1.701	0.706	13.384	0.179	-39.953	-24.616	2.116	0.603	13.880	7.907	-68.847	143.094	1.800	0.904	8.967	2.839	59.848	73.820	1.820	1.472	7.412	1.697	-94.237	-0.670	1.736	1.237	3.464	5.497	186.974	179.479	1.902	1.015	5.212	3.300	-24.350	120.484	1.950	0.933	4.553	2.303	-30.431	115.265	1.870	1.519	8.344	1.319	30.876	5.940	1.849	1.669	8.222	1.659	-0.798	35.656	1.841	1.001	8.046	1.829	-3.303	25.274	
1.966	0.002	-0.085	-0.162	27.360	-78.498	1.836	0.087	0.916	2.040	-17.488	73.084	2.031	0.495	3.633	-1.621	-33.993	95.365	1.837	0.907	6.435	0.563	176.673	144.248	1.874	1.400	7.675	-0.304	-184.258	189.725	1.917	1.060	11.428	3.578	50.515	24.291	2.203	1.173	8.984	8.097	-111.623	11.688	2.262	1.200	9.580	9.073	-274.334	99.324	1.642	0.574	15.531	-3.731	166.233	-39.489	1.833	0.706	13.206	-0.027	4.245	-16.669	2.251	0.690	13.454	8.781	-16.351	31.655	1.893	0.937	9.531	3.470	52.944	52.431	1.889	1.489	6.978	1.806	7.430	22.547	1.780	1.301	5.918	5.516	303.819	-175.606	1.953	1.054	5.025	4.227	-13.041	64.894	1.994	0.962	4.402	3.224	0.291	68.935	1.955	1.532	8.444	1.425	-10.861	15.306	1.931	1.687	8.203	1.970	-2.974	26.553	1.922	1.020	8.062	2.202	6.478	49.382	
1.967	-0.004	0.182	-0.529	26.125	5.136	1.845	0.111	0.999	2.551	34.013	29.098	2.065	0.483	3.413	-0.512	-10.159	126.525	1.910	0.920	7.997	2.159	135.566	174.947	1.942	1.406	7.661	1.318	181.631	134.741	2.034	1.097	11.847	3.747	33.394	9.503	2.287	1.255	8.237	7.919	-37.837	-47.119	2.344	1.296	7.328	8.768	-176.051	-160.390	1.806	0.534	17.419	-3.680	211.270	49.687	1.965	0.705	13.417	-0.154	38.000	-8.720	2.385	0.779	12.664	8.397	-141.554	-108.482	1.991	0.974	9.919	3.794	24.508	12.330	1.959	1.509	7.066	2.193	10.134	54.835	1.854	1.347	6.197	4.025	-247.916	-122.637	2.003	1.099	4.947	4.631	-2.662	15.891	2.038	0.998	4.508	3.701	20.851	26.519	2.039	1.547	8.168	1.615	-44.472	22.640	2.013	1.708	8.157	2.172	-6.236	13.872	2.003	1.045	8.138	2.687	8.847	47.647	
1.970	-0.009	0.438	-0.260	24.940	48.542	1.856	0.138	1.761	2.685	118.467	-2.429	2.099	0.484	3.445	0.822	16.584	140.165	1.997	0.950	8.998	3.440	64.696	81.201	2.027	1.426	8.666	1.554	19.283	-87.556	2.154	1.134	11.725	3.862	-57.812	13.421	2.368	1.332	7.476	7.202	-114.286	-96.262	2.408	1.376	6.389	7.563	-11.678	-80.495	1.991	0.500	19.434	-2.768	191.877	132.583	2.101	0.703	13.880	-0.203	54.545	-1.069	2.504	0.858	10.348	7.002	-321.651	-170.418	2.091	1.012	9.943	3.715	-19.605	-28.225	2.030	1.533	7.120	2.794	0.832	65.446	1.904	1.382	6.193	3.655	247.037	48.499	2.052	1.146	4.964	4.596	6.182	-22.800	2.084	1.036	4.741	3.795	25.694	-7.648	2.118	1.565	7.928	1.856	-3.366	25.631	2.095	1.730	8.078	2.250	-9.458	1.692	2.084	1.074	8.201	3.059	3.624	26.762	
1.976	-0.009	0.684	-0.340	24.437	-64.530	1.880	0.165	3.034	2.825	136.082	30.562	2.134	0.500	3.742	2.222	42.896	139.883	2.090	0.989	9.293	3.844	-5.646	-0.385	2.115	1.437	7.693	2.248	-213.988	226.336	2.269	1.174	10.824	4.008	-122.330	15.881	2.437	1.399	6.394	6.095	-102.303	-125.279	2.472	1.447	5.615	7.059	-143.137	-20.345	2.194	0.479	20.904	-1.152	102.028	190.701	2.243	0.701	14.445	-0.179	58.584	5.863	2.592	0.919	7.842	5.810	-179.708	-67.970	2.190	1.048	9.568	3.302	-55.320	-54.373	2.102	1.564	7.509	3.314	76.947	38.376	1.978	1.420	7.115	3.739	-62.704	-31.687	2.102	1.191	5.062	4.261	13.292	-44.106	2.133	1.074	4.965	3.609	19.276	-29.637	2.197	1.584	7.628	2.111	-56.770	25.309	2.175	1.753	7.967	2.229	-12.770	-5.826	2.167	1.106	8.197	3.200	-4.325	1.265	
1.984	-0.015	0.938	0.171	26.222	166.666	1.917	0.194	4.097	3.275	76.587	59.447	2.174	0.529	4.279	3.377	64.545	91.201	2.183	1.027	8.997	3.117	-53.504	-145.138	2.181	1.471	7.495	3.578	174.427	39.632	2.371	1.215	9.632	4.062	-116.212	-5.100	2.496	1.454	5.834	4.801	-9.508	-133.455	2.521	1.517	5.329	6.233	85.821	-144.898	2.409	0.477	21.314	0.814	-20.068	202.435	2.390	0.700	15.012	-0.091	54.858	11.878	2.661	0.974	7.511	5.598	113.556	25.451	2.283	1.078	8.913	2.748	-75.789	-56.278	2.181	1.599	8.787	3.451	178.556	-10.853	2.046	1.456	6.791	3.412	-2.060	-33.666	2.153	1.232	5.221	3.815	18.587	-45.112	2.183	1.108	5.112	3.281	9.964	-35.869	2.271	1.607	7.502	2.349	31.595	22.374	2.254	1.775	7.826	2.162	-15.531	-7.626	2.248	1.138	8.114	3.083	-12.288	-24.588	
1.994	-0.005	1.209	2.679	27.968	335.027	1.962	0.230	4.346	3.827	-26.916	50.921	2.220	0.567	4.997	4.002	79.052	33.618	2.270	1.051	8.461	1.703	-53.763	-137.503	2.265	1.509	9.954	3.029	317.369	-149.453	2.461	1.255	8.638	3.824	-82.514	-42.402	2.554	1.495	6.052	3.515	52.958	-123.814	2.578	1.572	6.117	4.236	71.754	-254.481	2.621	0.495	20.823	2.643	-78.094	163.476	2.543	0.699	15.485	0.053	39.701	16.879	2.742	1.031	8.567	5.775	97.604	9.921	2.368	1.103	8.130	2.283	-80.686	-36.772	2.277	1.633	9.390	3.172	-57.848	-44.941	2.114	1.489	6.795	3.565	2.813	64.381	2.207	1.267	5.426	3.431	22.342	-31.824	2.235	1.139	5.185	2.978	4.680	-24.745	2.347	1.631	7.958	2.549	59.643	17.594	2.331	1.796	7.669	2.091	-15.907	-6.562	2.329	1.168	7.961	2.812	-18.406	-29.613	
2.008	0.038	1.495	4.703	29.237	69.754	2.004	0.271	3.804	4.275	-81.331	38.716	2.274	0.609	5.815	4.104	84.436	-13.226	2.352	1.061	8.095	1.458	-19.484	88.397	2.380	1.532	9.009	0.935	-506.291	-269.349	2.544	1.291	7.981	3.273	-48.985	-67.868	2.617	1.524	6.803	2.386	97.299	-101.855	2.643	1.602	6.752	2.234	55.251	-145.986	2.825	0.530	19.986	3.916	-89.252	91.156	2.700	0.701	15.756	0.242	14.422	20.949	2.833	1.089	8.947	5.409	-21.591	-83.039	2.445	1.124	7.397	2.038	-66.042	-12.231	2.368	1.663	7.667	2.668	-286.922	-55.798	2.182	1.528	6.178	3.677	-126.178	-42.093	2.262	1.300	5.663	3.206	25.091	-13.171	2.287	1.168	5.242	2.851	6.733	-0.622	2.430	1.658	8.208	2.693	-9.630	11.121	2.407	1.817	7.519	2.032	-14.069	-5.268	2.408	1.194	7.774	2.567	-18.985	-19.280	
2.024	0.089	1.795	5.318	30.866	53.206	2.038	0.316	3.297	4.934	-20.177	92.981	2.336	0.649	6.649	3.848	82.340	-37.876	2.432	1.080	7.987	2.472	-2.067	114.335	2.445	1.527	5.220	0.373	-251.598	157.145	2.621	1.320	7.620	2.577	-23.057	-71.408	2.690	1.543	7.803	1.465	102.687	-82.362	2.713	1.617	6.993	1.187	-6.952	-63.334	3.020	0.573	19.044	4.479	-99.130	21.287	2.858	0.704	15.748	0.469	-16.069	24.409	2.921	1.139	8.600	3.830	-47.774	-232.699	2.516	1.144	6.880	1.996	-37.372	3.784	2.431	1.687	5.570	2.192	-132.387	-39.593	2.237	1.562	5.860	3.205	62.540	-52.340	2.320	1.332	5.924	3.138	27.180	-0.285	2.340	1.196	5.366	2.985	18.053	27.285	2.512	1.685	7.691	2.762	-93.863	2.713	2.482	1.837	7.392	1.985	-11.322	-4.114	2.484	1.219	7.615	2.397	-12.722	-14.901	
